subject_id,n_fix,dur_mean,pup_mean,dispersion,n_stim,label
212,1090,319.2137614678899,3204.780733944954,108.5231913085862,100.0,1
213,1317,345.3705391040243,391.2703113135915,178.41286735628776,100.0,1
214,1353,267.9150036954915,1191.1308203991132,161.80963526443924,100.0,1
215,1382,312.01953690303907,730.616497829233,140.39814163246956,100.0,1
216,726,320.3333333333333,576.6267217630854,172.4410374340248,63.0,1
217,1277,265.8566953797964,735.7705559906029,166.60554680524987,100.0,1
219,1422,299.07243319268633,402.3333333333333,193.0395249860554,100.0,1
220,1045,331.2488038277512,591.9952153110048,145.44987374926504,100.0,1
221,1466,286.5893587994543,931.8908594815825,179.07340646130535,100.0,1
222,1199,347.1117597998332,927.302752293578,159.7225406170004,99.0,1
223,1446,283.7607192254495,1072.3222683264178,218.13026406627878,99.0,1
226,875,379.1874285714286,530.7382857142857,170.82249745803395,88.0,1
227,739,470.9878213802436,874.998646820027,167.9744515007065,96.0,1
228,1544,284.48445595854923,740.7150259067357,192.1594487140431,100.0,1
229,1607,261.8537647790915,1597.5924082140634,200.9405469727708,100.0,1
230,885,481.7050847457627,357.6406779661017,98.45155327246898,100.0,1
231,1441,265.46564885496184,932.5371269951422,189.48761131542298,100.0,1
232,1392,302.2183908045977,382.5064655172414,125.74577215829756,100.0,1
234,1471,289.343303874915,1154.1339225016995,202.55125868069396,100.0,1
236,955,463.6523560209424,932.8984293193718,151.3034947347669,100.0,1
237,1624,258.8337438423645,1858.271551724138,172.8551813080763,100.0,1
238,1267,310.4222573007103,1597.277821625888,173.2328660018787,98.0,1
239,1512,284.50198412698415,461.0403439153439,226.50852316903854,100.0,1
240,1395,272.51397849462364,597.331182795699,187.3591065210724,99.0,1
241,635,501.6472440944882,2030.5496062992127,136.123971535421,94.0,1
242,986,417.0131845841785,1911.3823529411766,194.66067889075683,99.0,1
244,1175,294.10468085106385,531.8093617021276,188.71199194165268,96.0,1
245,1250,333.1192,877.0048,215.507077240077,100.0,1
246,1440,294.86319444444445,724.7041666666667,115.75406873535442,98.0,1
247,1463,263.4552289815448,2339.15994531784,161.19729720495968,100.0,1
248,1044,340.37931034482756,1056.0909961685825,114.75525059036856,100.0,1
249,1407,292.8564321250888,636.1656005685857,195.61212913887786,100.0,1
250,1066,360.31050656660415,1697.3489681050658,131.81370235588906,100.0,1
251,890,400.40449438202245,1566.5528089887641,133.41508772386814,99.0,1
252,1472,267.6222826086956,2698.5509510869565,179.53936379413645,100.0,1
253,1263,305.4972288202692,1286.5162311955662,217.68339540822234,100.0,1
254,1202,290.53577371048254,750.38768718802,178.28358823946772,100.0,1
255,1253,320.2737430167598,1130.881085395052,167.03219825599115,100.0,1
256,1682,208.18787158145065,859.1765755053508,279.1226679799621,100.0,1
258,1368,301.8669590643275,1097.8062865497077,210.4626520744877,100.0,1
259,968,275.3357438016529,395.13946280991735,178.87923007975434,68.0,1
261,1492,269.9034852546917,1943.0918230563002,185.02539354960436,100.0,1
262,1303,312.5049884881044,2064.8503453568687,193.1000426852998,100.0,1
264,1346,287.1508172362556,618.5118870728083,204.01855587100866,100.0,1
265,754,509.93236074270555,956.0119363395225,197.376060715533,96.0,1
266,1249,296.93995196156925,479.5324259407526,206.63921849815597,100.0,1
267,1208,339.99006622516555,750.6986754966888,189.57471402087387,100.0,1
268,1079,316.4114921223355,1339.4949026876739,184.20617912699706,98.0,1
269,1078,393.6966604823748,680.4962894248608,178.89267510262812,100.0,1
270,1446,239.83195020746888,303.08298755186723,215.7267971051562,98.0,1
271,1337,302.69334330590874,327.20792819745697,216.08078481532215,99.0,1
273,1295,298.5204633204633,876.3351351351351,240.7555979948605,100.0,1
274,1057,357.60643330179755,2369.5638599810786,192.29074763017854,100.0,1
275,1552,271.59149484536084,2625.6423969072166,133.7465281812575,100.0,1
276,1447,224.01313061506565,2533.238424326192,223.0435625782949,100.0,1
278,1051,381.18363463368223,1810.3073263558515,157.64232600596645,95.0,1
279,1430,255.03426573426574,355.19370629370627,202.91783273591858,100.0,1
281,1647,235.7838494231937,909.1857923497267,179.69481147654,100.0,1
282,1258,343.20349761526234,2734.7297297297296,208.05085612549115,100.0,1
283,1304,288.2546012269939,2136.0759202453987,207.78487422118502,99.0,1
284,1373,324.1150764748725,980.2840495265841,170.7309146829211,100.0,1
285,1009,381.3230921704658,1591.9326065411299,186.29465478431487,98.0,1
287,1092,386.16849816849816,502.3452380952381,173.12641099120697,100.0,1
290,1174,271.7819420783646,1998.2887563884158,178.97812707967367,100.0,1
291,801,374.23595505617976,1719.5505617977528,183.2380990653776,100.0,1
292,1291,293.12238574748255,651.2463206816421,217.54165051311915,100.0,1
293,1427,287.0602662929222,358.36720392431675,209.53139891528755,100.0,1
297,1367,306.39136795903437,971.0468178493051,173.3126359000695,96.0,1
298,1439,277.17998610145935,1288.3439888811674,148.59229413767102,100.0,1
299,1492,291.1461126005362,2629.7131367292227,226.21238534852014,100.0,1
301,954,446.0660377358491,382.30817610062894,159.68244705054312,99.0,1
302,1178,337.7147707979627,348.10526315789474,178.2189310388812,100.0,1
303,1380,313.46884057971016,383.16884057971015,183.83354728847291,100.0,1
